                            Variables index correlation     qvalue pvalue
M11.55_299.1950m.z M11.55_299.1950m.z  1195   0.3586428 0.00000000  0.000
M11.55_375.1810m.z M11.55_375.1810m.z  2438   0.3569342 0.00000000  0.000
M12.36_331.2623m.z M12.36_331.2623m.z  3774   0.3552855 0.02913303  0.001
M1.26_239.1651m.z   M1.26_239.1651m.z   774   0.3551234 0.02913303  0.001
M11.04_251.2016m.z M11.04_251.2016m.z  1416   0.3549480 0.00000000  0.000
M11.41_277.2170m.z M11.41_277.2170m.z   135   0.3525812 0.00000000  0.000
M3.66_336.0675m.z   M3.66_336.0675m.z  5421   0.3523809 0.02913303  0.001
M10.81_225.1859m.z M10.81_225.1859m.z   845   0.3514357 0.00000000  0.000
M8.06_197.1546m.z   M8.06_197.1546m.z  3960   0.3512899 0.02913303  0.001
M3.18_309.2797m.z   M3.18_309.2797m.z  5778   0.3506365 0.02913303  0.001
M10.81_307.1888m.z M10.81_307.1888m.z  1797   0.3504690 0.00000000  0.000
M12.85_615.4059m.z M12.85_615.4059m.z  2204   0.3492090 0.00000000  0.000
M8.80_213.1496m.z   M8.80_213.1496m.z  1719   0.3489783 0.02913303  0.001
M9.96_241.1808m.z   M9.96_241.1808m.z  1332   0.3488682 0.02913303  0.001
M11.93_425.1963m.z M11.93_425.1963m.z  4544   0.3484380 0.00000000  0.000
M5.77_85.0284m.z     M5.77_85.0284m.z  6050   0.3481782 0.00000000  0.000
M11.55_398.1977n     M11.55_398.1977n  1165   0.3477590 0.00000000  0.000
M9.38_215.1652m.z   M9.38_215.1652m.z  1716   0.3464273 0.02913303  0.001
M5.58_302.2322m.z   M5.58_302.2322m.z  1182   0.3456471 0.02913303  0.001
M11.41_577.4237m.z M11.41_577.4237m.z  4628   0.3454971 0.02913303  0.001
M11.55_457.1839m.z M11.55_457.1839m.z  1691   0.3453159 0.02913303  0.001
M4.92_796.5252m.z   M4.92_796.5252m.z  1325   0.3450203 0.02913303  0.001
M0.96_327.2325m.z   M0.96_327.2325m.z   163   0.3445538 0.02913303  0.001
M10.86_295.1641m.z M10.86_295.1641m.z  3735   0.3442290 0.02913303  0.001
M11.91_409.2356m.z M11.91_409.2356m.z   584   0.3436099 0.00000000  0.000
M8.64_343.2714n       M8.64_343.2714n   929   0.3435024 0.02913303  0.001
M0.97_197.1545m.z   M0.97_197.1545m.z   612   0.3426121 0.04721933  0.002
M4.73_848.5557m.z   M4.73_848.5557m.z  2381   0.3423102 0.04721933  0.002
M11.96_280.2398n     M11.96_280.2398n    33   0.3422778 0.00000000  0.000
M11.79_257.2472m.z M11.79_257.2472m.z  3513   0.3417855 0.00000000  0.000
M0.96_304.2398n       M0.96_304.2398n    74   0.3414000 0.04721933  0.002
M11.54_253.2171m.z M11.54_253.2171m.z   126   0.3401606 0.00000000  0.000
M11.31_239.2017m.z M11.31_239.2017m.z  3568   0.3399733 0.05935514  0.003
M9.67_218.1276n       M9.67_218.1276n  2572   0.3394124 0.00000000  0.000
M9.98_287.1589m.z   M9.98_287.1589m.z  4295   0.3383244 0.02913303  0.001
M0.96_225.1858m.z   M0.96_225.1858m.z   359   0.3378474 0.07017680  0.004
M6.81_313.2244n       M6.81_313.2244n   606   0.3370014 0.00000000  0.000
