                            Variables index correlation     qvalue pvalue
M5.76_479.3009n       M5.76_479.3009n  1056  -0.3310352 0.04721933  0.002
M11.76_314.2817n     M11.76_314.2817n   831  -0.3302427 0.07017680  0.004
M1.09_106.0498m.z   M1.09_106.0498m.z  4890  -0.3298071 0.05935514  0.003
M10.93_567.3320n     M10.93_567.3320n   180  -0.3293852 0.07764059  0.005
M10.14_147.1168m.z M10.14_147.1168m.z  4688  -0.3291419 0.02913303  0.001
M5.93_506.3246m.z   M5.93_506.3246m.z  1083  -0.3285882 0.04721933  0.002
M4.01_383.0373m.z   M4.01_383.0373m.z  1127  -0.3285068 0.02913303  0.001
M16.15_115.0866m.z M16.15_115.0866m.z   323  -0.3284873 0.05935514  0.003
M4.01_435.0669m.z   M4.01_435.0669m.z   717  -0.3281223 0.04721933  0.002
M7.46_169.1233m.z   M7.46_169.1233m.z  5914  -0.3276576 0.05935514  0.003
M2.17_182.0578n       M2.17_182.0578n  2610  -0.3269833 0.05935514  0.003
M3.79_123.0552m.z   M3.79_123.0552m.z  4833  -0.3268197 0.04721933  0.002
M1.20_123.0552m.z   M1.20_123.0552m.z  2913  -0.3268122 0.04721933  0.002
M4.03_213.0429m.z   M4.03_213.0429m.z  3315  -0.3266450 0.04721933  0.002
M5.89_519.3326n       M5.89_519.3326n   109  -0.3266268 0.04721933  0.002
M10.92_529.3161n     M10.92_529.3161n   738  -0.3247323 0.08543946  0.006
M10.77_356.2351n     M10.77_356.2351n   543  -0.3245812 0.00000000  0.000
M12.60_203.0670m.z M12.60_203.0670m.z  5655  -0.3239565 0.05935514  0.003
M5.82_543.3319n       M5.82_543.3319n   394  -0.3236343 0.05935514  0.003
M4.01_235.0249m.z   M4.01_235.0249m.z  3006  -0.3236172 0.07017680  0.004
M0.55_122.0844m.z   M0.55_122.0844m.z  2297  -0.3233675 0.02913303  0.001
M5.19_179.0389m.z   M5.19_179.0389m.z  4203  -0.3232904 0.04721933  0.002
M10.91_247.0932m.z M10.91_247.0932m.z   113  -0.3223663 0.04721933  0.002
M7.32_608.2727n       M7.32_608.2727n    24  -0.3209869 0.05935514  0.003
M10.02_551.2525n     M10.02_551.2525n   444  -0.3194373 0.04721933  0.002
M11.30_501.2824n     M11.30_501.2824n  1248  -0.3191950 0.02913303  0.001
M10.25_268.0856m.z M10.25_268.0856m.z  4694  -0.3191883 0.07017680  0.004
M5.28_251.0122m.z   M5.28_251.0122m.z  5748  -0.3186530 0.02913303  0.001
M10.14_149.1324m.z M10.14_149.1324m.z  4615  -0.3182533 0.02913303  0.001
M10.01_520.2655m.z M10.01_520.2655m.z  3157  -0.3178991 0.04721933  0.002
M10.86_477.2847n     M10.86_477.2847n   233  -0.3169668 0.08543946  0.006
M8.93_135.0298m.z   M8.93_135.0298m.z   139  -0.3169261 0.00000000  0.000
M0.56_158.0214n       M0.56_158.0214n  1117  -0.3160379 0.02913303  0.001
M0.98_93.0698m.z     M0.98_93.0698m.z  3234  -0.3160118 0.04721933  0.002
M6.94_166.0508m.z   M6.94_166.0508m.z  6021  -0.3151285 0.05935514  0.003
M12.45_426.0871n     M12.45_426.0871n  1502  -0.3150016 0.05935514  0.003
M10.72_500.2742m.z M10.72_500.2742m.z  2016  -0.3148816 0.07764059  0.005
M9.83_104.1069m.z   M9.83_104.1069m.z  1468  -0.3148815 0.07764059  0.005
M12.37_425.0802m.z M12.37_425.0802m.z   540  -0.3147311 0.05935514  0.003
M2.76_191.0942n       M2.76_191.0942n  1101  -0.3144895 0.07017680  0.004
M1.52_218.0692n       M1.52_218.0692n  3330  -0.3141812 0.08543946  0.006
M11.66_97.9768n       M11.66_97.9768n   190  -0.3139495 0.04721933  0.002
M9.83_240.0989m.z   M9.83_240.0989m.z  2135  -0.3138966 0.04721933  0.002
M10.54_385.2384m.z M10.54_385.2384m.z  2592  -0.3135400 0.04721933  0.002
M2.22_168.0898n       M2.22_168.0898n  1935  -0.3128255 0.05935514  0.003
M5.79_477.2850n       M5.79_477.2850n   456  -0.3125071 0.07764059  0.005
M0.73_294.0508n       M0.73_294.0508n  1152  -0.3124556 0.02913303  0.001
M9.57_326.0698n       M9.57_326.0698n  1270  -0.3123305 0.05935514  0.003
M5.82_478.2934m.z   M5.82_478.2934m.z  1246  -0.3118863 0.07017680  0.004
M8.93_75.0087m.z     M8.93_75.0087m.z  2311  -0.3117119 0.04721933  0.002
M12.27_469.3528m.z M12.27_469.3528m.z  1932  -0.3116307 0.05935514  0.003
M11.42_521.3473n     M11.42_521.3473n    68  -0.3116239 0.02913303  0.001
M7.25_578.2623n       M7.25_578.2623n   841  -0.3109737 0.07017680  0.004
M9.83_213.1860m.z   M9.83_213.1860m.z  2960  -0.3105659 0.09846512  0.008
M9.86_495.2960m.z   M9.86_495.2960m.z  1690  -0.3102660 0.02913303  0.001
M4.69_210.1040m.z   M4.69_210.1040m.z  4516  -0.3093631 0.07764059  0.005
M10.65_399.2208m.z M10.65_399.2208m.z  1298  -0.3086116 0.07017680  0.004
M3.05_280.9782m.z   M3.05_280.9782m.z  1300  -0.3085992 0.05935514  0.003
M4.69_227.0779m.z   M4.69_227.0779m.z  2073  -0.3077769 0.08543946  0.006
M11.30_479.3001n     M11.30_479.3001n   563  -0.3075294 0.07017680  0.004
M9.53_276.1455m.z   M9.53_276.1455m.z  2639  -0.3069764 0.10373684  0.009
M10.19_354.2163n     M10.19_354.2163n  2556  -0.3069231 0.08543946  0.006
