                            Variables index correlation      qvalue pvalue
M6.19_187.1338m.z   M6.19_187.1338m.z  5230  -0.3824399 0.000000000  0.000
M11.93_455.2132m.z M11.93_455.2132m.z  2314  -0.3823354 0.000000000  0.000
M2.90_451.0506m.z   M2.90_451.0506m.z  2064  -0.3820687 0.000000000  0.000
M10.79_444.3235n     M10.79_444.3235n  3365  -0.3818738 0.000000000  0.000
M8.11_165.0920m.z   M8.11_165.0920m.z  2174  -0.3814100 0.000000000  0.000
M9.11_225.1859m.z   M9.11_225.1859m.z  3416  -0.3807202 0.000000000  0.000
M5.94_141.0920m.z   M5.94_141.0920m.z  4780  -0.3799819 0.000000000  0.000
M6.15_399.0945m.z   M6.15_399.0945m.z  4757  -0.3796100 0.000000000  0.000
M6.47_302.0906n       M6.47_302.0906n  4586  -0.3787379 0.000000000  0.000
M2.79_293.0615m.z   M2.79_293.0615m.z  2445  -0.3781335 0.000000000  0.000
M9.27_152.0376m.z   M9.27_152.0376m.z  3801  -0.3774747 0.000000000  0.000
M5.89_386.2898m.z   M5.89_386.2898m.z  1539  -0.3772747 0.000000000  0.000
M10.38_305.1734m.z M10.38_305.1734m.z  2146  -0.3772217 0.000000000  0.000
M6.18_198.1134m.z   M6.18_198.1134m.z  4312  -0.3764155 0.000000000  0.000
M5.44_330.2635m.z   M5.44_330.2635m.z  1466  -0.3761252 0.000000000  0.000
M2.12_212.1181m.z   M2.12_212.1181m.z  1821  -0.3760636 0.000000000  0.000
M10.82_319.2293m.z M10.82_319.2293m.z  4558  -0.3760441 0.000000000  0.000
M6.15_370.1420n       M6.15_370.1420n  4186  -0.3759915 0.000000000  0.000
M9.84_398.3254m.z   M9.84_398.3254m.z  1952  -0.3754589 0.000000000  0.000
M6.16_159.1025m.z   M6.16_159.1025m.z  2000  -0.3745605 0.000000000  0.000
M10.25_253.1792m.z M10.25_253.1792m.z  5053  -0.3735740 0.000000000  0.000
M14.06_208.1000m.z M14.06_208.1000m.z  5942  -0.3733716 0.000000000  0.000
M9.83_253.2171m.z   M9.83_253.2171m.z  5136  -0.3719138 0.000000000  0.000
M6.15_323.1085m.z   M6.15_323.1085m.z  4389  -0.3713636 0.000000000  0.000
M7.44_315.2402n       M7.44_315.2402n   382  -0.3699512 0.000000000  0.000
M9.32_325.1137m.z   M9.32_325.1137m.z  3413  -0.3690308 0.000000000  0.000
M0.96_115.0400m.z   M0.96_115.0400m.z   786  -0.3688786 0.000000000  0.000
M2.35_459.1403m.z   M2.35_459.1403m.z  1480  -0.3687079 0.000000000  0.000
M2.22_211.0974m.z   M2.22_211.0974m.z  1476  -0.3682987 0.000000000  0.000
M8.43_386.2890m.z   M8.43_386.2890m.z  2464  -0.3681159 0.000000000  0.000
M6.25_160.0967m.z   M6.25_160.0967m.z  4199  -0.3676027 0.000000000  0.000
M7.61_316.1187m.z   M7.61_316.1187m.z  4691  -0.3660682 0.000000000  0.000
M6.48_155.1076m.z   M6.48_155.1076m.z  5493  -0.3657847 0.000000000  0.000
M8.19_139.0222m.z   M8.19_139.0222m.z  5728  -0.3645655 0.000000000  0.000
M2.67_333.1441m.z   M2.67_333.1441m.z   695  -0.3642946 0.000000000  0.000
M7.89_330.2630m.z   M7.89_330.2630m.z  2711  -0.3615776 0.015211976  0.002
M11.41_277.2170m.z M11.41_277.2170m.z   135  -0.3602021 0.000000000  0.000
M6.49_335.1228m.z   M6.49_335.1228m.z  3954  -0.3593036 0.000000000  0.000
M6.97_285.1002m.z   M6.97_285.1002m.z  3298  -0.3590743 0.000000000  0.000
M11.39_301.2170m.z M11.39_301.2170m.z   518  -0.3579978 0.000000000  0.000
M4.20_199.0975m.z   M4.20_199.0975m.z  3864  -0.3576654 0.000000000  0.000
M11.94_349.2109m.z M11.94_349.2109m.z  1102  -0.3574942 0.000000000  0.000
M7.42_268.1308n       M7.42_268.1308n  2207  -0.3574361 0.000000000  0.000
M1.06_194.1304n       M1.06_194.1304n  1349  -0.3572316 0.000000000  0.000
M8.58_224.1775n       M8.58_224.1775n  3754  -0.3571539 0.000000000  0.000
M6.03_360.2741m.z   M6.03_360.2741m.z  1890  -0.3569553 0.008547779  0.001
M5.22_213.1132m.z   M5.22_213.1132m.z  3508  -0.3569041 0.000000000  0.000
M5.45_368.2792m.z   M5.45_368.2792m.z   663  -0.3565857 0.000000000  0.000
M7.03_226.1209n       M7.03_226.1209n  3997  -0.3563625 0.000000000  0.000
M2.12_687.2258m.z   M2.12_687.2258m.z  4428  -0.3556519 0.000000000  0.000
M2.02_361.1040m.z   M2.02_361.1040m.z  1154  -0.3548697 0.000000000  0.000
M9.42_487.3424m.z   M9.42_487.3424m.z  3799  -0.3547908 0.000000000  0.000
M11.91_409.2356m.z M11.91_409.2356m.z   584  -0.3546491 0.000000000  0.000
M7.97_179.0713m.z   M7.97_179.0713m.z  1903  -0.3539951 0.008547779  0.001
M10.86_295.2276m.z M10.86_295.2276m.z  1869  -0.3539200 0.000000000  0.000
M4.05_373.1251m.z   M4.05_373.1251m.z  1429  -0.3538161 0.000000000  0.000
M8.07_341.2558n       M8.07_341.2558n  1180  -0.3538111 0.000000000  0.000
M8.17_144.0421n       M8.17_144.0421n  1189  -0.3536413 0.000000000  0.000
M6.81_313.2244n       M6.81_313.2244n   606  -0.3535075 0.000000000  0.000
M0.96_309.2795m.z   M0.96_309.2795m.z   696  -0.3531701 0.000000000  0.000
M2.45_318.1333m.z   M2.45_318.1333m.z  1758  -0.3527592 0.000000000  0.000
M9.20_267.1104m.z   M9.20_267.1104m.z  1559  -0.3526053 0.000000000  0.000
M0.97_256.1678n       M0.97_256.1678n  1936  -0.3523717 0.000000000  0.000
M8.58_368.2788m.z   M8.58_368.2788m.z  1132  -0.3521794 0.000000000  0.000
M10.10_487.3425m.z M10.10_487.3425m.z  3358  -0.3520306 0.000000000  0.000
M2.44_257.1049n       M2.44_257.1049n  3359  -0.3519939 0.000000000  0.000
M11.91_327.2327m.z M11.91_327.2327m.z   231  -0.3515880 0.000000000  0.000
M11.92_303.2327m.z M11.92_303.2327m.z   209  -0.3508854 0.000000000  0.000
M7.71_88.0393m.z     M7.71_88.0393m.z  6276  -0.3507926 0.000000000  0.000
M11.41_517.2093m.z M11.41_517.2093m.z  2737  -0.3507009 0.000000000  0.000
M1.19_121.1022m.z   M1.19_121.1022m.z  3036  -0.3505035 0.000000000  0.000
M3.21_331.0604m.z   M3.21_331.0604m.z  4748  -0.3494350 0.000000000  0.000
M5.57_213.1132m.z   M5.57_213.1132m.z  3183  -0.3477198 0.000000000  0.000
M8.71_374.1208n       M8.71_374.1208n  3939  -0.3467839 0.000000000  0.000
M7.50_315.1331m.z   M7.50_315.1331m.z  2885  -0.3463220 0.000000000  0.000
M7.29_163.0764m.z   M7.29_163.0764m.z  4535  -0.3461050 0.000000000  0.000
M12.60_329.2484m.z M12.60_329.2484m.z  1160  -0.3447561 0.000000000  0.000
M5.85_414.3211m.z   M5.85_414.3211m.z  3351  -0.3436226 0.008547779  0.001
M12.36_331.2623m.z M12.36_331.2623m.z  3774  -0.3435668 0.000000000  0.000
M1.87_129.0556m.z   M1.87_129.0556m.z    35  -0.3434165 0.008547779  0.001
M5.48_309.1929n       M5.48_309.1929n  1413  -0.3432013 0.000000000  0.000
M11.41_577.4237m.z M11.41_577.4237m.z  4628  -0.3428816 0.000000000  0.000
M5.61_316.2479m.z   M5.61_316.2479m.z   280  -0.3409461 0.015211976  0.002
M13.56_389.2668m.z M13.56_389.2668m.z  1930  -0.3408031 0.000000000  0.000
M5.37_398.3260m.z   M5.37_398.3260m.z  1397  -0.3405822 0.000000000  0.000
M6.72_269.1293m.z   M6.72_269.1293m.z  5473  -0.3396900 0.000000000  0.000
M7.23_208.0615m.z   M7.23_208.0615m.z  5445  -0.3388369 0.000000000  0.000
M5.51_113.0972m.z   M5.51_113.0972m.z  5970  -0.3384372 0.000000000  0.000
M8.94_388.3047m.z   M8.94_388.3047m.z  3724  -0.3379317 0.008547779  0.001
M13.56_307.2641m.z M13.56_307.2641m.z   719  -0.3376896 0.000000000  0.000
M8.08_147.0297m.z   M8.08_147.0297m.z  2295  -0.3372183 0.000000000  0.000
M6.80_169.1233m.z   M6.80_169.1233m.z  3403  -0.3370439 0.000000000  0.000
M9.67_218.1276n       M9.67_218.1276n  2572  -0.3369427 0.000000000  0.000
M1.05_183.1389m.z   M1.05_183.1389m.z   844  -0.3367319 0.008547779  0.001
M5.34_373.1136m.z   M5.34_373.1136m.z  3879  -0.3366624 0.000000000  0.000
M7.20_192.0666m.z   M7.20_192.0666m.z  5503  -0.3359187 0.000000000  0.000
M13.20_331.2641m.z M13.20_331.2641m.z   898  -0.3357811 0.000000000  0.000
M12.88_785.6511m.z M12.88_785.6511m.z  1720  -0.3357132 0.000000000  0.000
M8.68_165.0402m.z   M8.68_165.0402m.z   616  -0.3356406 0.000000000  0.000
M6.28_419.0657m.z   M6.28_419.0657m.z  3132  -0.3347184 0.000000000  0.000
M7.49_361.1390m.z   M7.49_361.1390m.z  1587  -0.3339532 0.008547779  0.001
M4.31_170.0822m.z   M4.31_170.0822m.z  4863  -0.3331032 0.000000000  0.000
M7.43_209.1183m.z   M7.43_209.1183m.z  4159  -0.3306467 0.000000000  0.000
M5.76_229.1433m.z   M5.76_229.1433m.z  4698  -0.3296711 0.008547779  0.001
M2.68_223.1077m.z   M2.68_223.1077m.z  6221  -0.3276955 0.000000000  0.000
M1.45_215.1650m.z   M1.45_215.1650m.z   697  -0.3271852 0.008547779  0.001
M7.04_313.2244n       M7.04_313.2244n  1235  -0.3267824 0.008547779  0.001
M5.01_293.0982m.z   M5.01_293.0982m.z  4218  -0.3262294 0.000000000  0.000
M11.91_573.2414m.z M11.91_573.2414m.z  2112  -0.3260741 0.000000000  0.000
M11.42_769.2361m.z M11.42_769.2361m.z  3570  -0.3249439 0.000000000  0.000
M7.63_148.0967m.z   M7.63_148.0967m.z  1787  -0.3249364 0.000000000  0.000
M5.67_213.1132m.z   M5.67_213.1132m.z  3510  -0.3248869 0.000000000  0.000
M6.96_235.0949m.z   M6.96_235.0949m.z  3626  -0.3245078 0.000000000  0.000
M0.97_352.0857m.z   M0.97_352.0857m.z  1245  -0.3238577 0.000000000  0.000
M7.91_406.0935n       M7.91_406.0935n  3905  -0.3229754 0.000000000  0.000
M2.68_335.1234m.z   M2.68_335.1234m.z  1251  -0.3228928 0.000000000  0.000
M6.72_333.1435m.z   M6.72_333.1435m.z  1186  -0.3225613 0.008547779  0.001
