                            Variables index correlation      qvalue pvalue
M10.86_477.2847n     M10.86_477.2847n   233   0.4336602 0.000000000  0.000
M5.79_477.2850n       M5.79_477.2850n   456   0.4313525 0.000000000  0.000
M9.79_333.2070m.z   M9.79_333.2070m.z  2818   0.4312761 0.000000000  0.000
M10.86_500.2779m.z M10.86_500.2779m.z   343   0.4311340 0.000000000  0.000
M6.90_253.1192m.z   M6.90_253.1192m.z  5711   0.4307726 0.000000000  0.000
M7.50_376.1877n       M7.50_376.1877n  5209   0.4260745 0.000000000  0.000
M4.02_391.0749m.z   M4.02_391.0749m.z  1874   0.4253126 0.000000000  0.000
M2.16_165.0416m.z   M2.16_165.0416m.z  1704   0.4249132 0.000000000  0.000
M10.59_450.2621m.z M10.59_450.2621m.z  3481   0.4240816 0.000000000  0.000
M9.32_431.2293m.z   M9.32_431.2293m.z  5242   0.4236724 0.000000000  0.000
M1.53_203.0809m.z   M1.53_203.0809m.z  2997   0.4233703 0.000000000  0.000
M9.83_438.2623m.z   M9.83_438.2623m.z   699   0.4224156 0.000000000  0.000
M10.93_415.2250m.z M10.93_415.2250m.z  3095   0.4219830 0.000000000  0.000
M10.86_337.2726m.z M10.86_337.2726m.z  2261   0.4217423 0.000000000  0.000
M1.53_173.0476n       M1.53_173.0476n  2858   0.4215230 0.000000000  0.000
M0.77_197.0678m.z   M0.77_197.0678m.z  2434   0.4215102 0.000000000  0.000
M9.83_453.2852n       M9.83_453.2852n   214   0.4211118 0.000000000  0.000
M6.12_386.1982m.z   M6.12_386.1982m.z  2922   0.4207263 0.000000000  0.000
M11.26_195.0508m.z M11.26_195.0508m.z   491   0.4192720 0.000000000  0.000
M2.56_194.0809m.z   M2.56_194.0809m.z  3882   0.4181192 0.000000000  0.000
M1.51_239.1025n       M1.51_239.1025n   671   0.4175192 0.000000000  0.000
M9.49_367.1403m.z   M9.49_367.1403m.z  2786   0.4155454 0.000000000  0.000
M4.01_473.9872m.z   M4.01_473.9872m.z  2644   0.4150672 0.000000000  0.000
M4.69_339.0886m.z   M4.69_339.0886m.z  3160   0.4146866 0.000000000  0.000
M1.09_294.0506n       M1.09_294.0506n   762   0.4133633 0.000000000  0.000
M4.67_179.0571m.z   M4.67_179.0571m.z  5634   0.4131063 0.000000000  0.000
M1.51_216.1133m.z   M1.51_216.1133m.z   283   0.4131002 0.000000000  0.000
M10.60_205.1181m.z M10.60_205.1181m.z   575   0.4130821 0.000000000  0.000
M3.42_311.0654m.z   M3.42_311.0654m.z  2760   0.4130614 0.000000000  0.000
M10.73_500.2778m.z M10.73_500.2778m.z  1105   0.4124058 0.000000000  0.000
M0.55_122.0844m.z   M0.55_122.0844m.z  2297   0.4123422 0.000000000  0.000
M1.51_175.0637n       M1.51_175.0637n  2835   0.4085928 0.000000000  0.000
M4.01_242.0203n       M4.01_242.0203n   472   0.4069532 0.000000000  0.000
M10.72_337.2726m.z M10.72_337.2726m.z  2221   0.4068486 0.000000000  0.000
M0.97_609.2578m.z   M0.97_609.2578m.z  2349   0.4065644 0.000000000  0.000
M7.12_397.1588m.z   M7.12_397.1588m.z  3532   0.4053865 0.000000000  0.000
M11.72_253.9313n     M11.72_253.9313n    34   0.4052627 0.000000000  0.000
M7.38_237.1131m.z   M7.38_237.1131m.z  1915   0.4050358 0.000000000  0.000
M4.69_292.1071m.z   M4.69_292.1071m.z  4599   0.4048493 0.000000000  0.000
M8.97_336.2296m.z   M8.97_336.2296m.z  2659   0.4040879 0.000000000  0.000
M4.69_210.1040m.z   M4.69_210.1040m.z  4516   0.4040708 0.000000000  0.000
M7.81_201.1496m.z   M7.81_201.1496m.z  4562   0.4036327 0.000000000  0.000
M10.72_500.2742m.z M10.72_500.2742m.z  2016   0.4035633 0.000000000  0.000
M10.77_285.2433m.z M10.77_285.2433m.z  3795   0.4035011 0.000000000  0.000
M1.52_218.0692n       M1.52_218.0692n  3330   0.4031127 0.000000000  0.000
M7.12_419.1408m.z   M7.12_419.1408m.z  3552   0.4014497 0.000000000  0.000
M10.01_453.2253m.z M10.01_453.2253m.z  3169   0.4012197 0.000000000  0.000
M7.11_181.0365m.z   M7.11_181.0365m.z  1100   0.4010153 0.000000000  0.000
M4.01_314.0348n       M4.01_314.0348n   276   0.4009058 0.000000000  0.000
M0.99_119.0501m.z   M0.99_119.0501m.z  3518   0.4005891 0.000000000  0.000
M1.53_176.0705m.z   M1.53_176.0705m.z  2466   0.3996965 0.000000000  0.000
M0.72_273.0755m.z   M0.72_273.0755m.z  1110   0.3994415 0.000000000  0.000
M4.01_383.0373m.z   M4.01_383.0373m.z  1127   0.3986304 0.000000000  0.000
M5.19_179.0389m.z   M5.19_179.0389m.z  4203   0.3982739 0.000000000  0.000
M3.41_225.0354m.z   M3.41_225.0354m.z  3748   0.3970576 0.000000000  0.000
M5.31_178.0720m.z   M5.31_178.0720m.z  5162   0.3966757 0.000000000  0.000
M1.44_197.0678m.z   M1.44_197.0678m.z  4598   0.3965937 0.000000000  0.000
M4.56_197.0677m.z   M4.56_197.0677m.z  1396   0.3955327 0.000000000  0.000
M6.08_152.0021m.z   M6.08_152.0021m.z  2518   0.3949526 0.000000000  0.000
M9.43_136.0371n       M9.43_136.0371n   509   0.3940686 0.000000000  0.000
M8.14_223.1688m.z   M8.14_223.1688m.z  3865   0.3940171 0.000000000  0.000
M0.60_371.0163m.z   M0.60_371.0163m.z  3189   0.3927121 0.000000000  0.000
M9.59_354.0389n       M9.59_354.0389n   100   0.3916548 0.000000000  0.000
M8.93_135.0298m.z   M8.93_135.0298m.z   139   0.3914847 0.000000000  0.000
M1.04_94.9250m.z     M1.04_94.9250m.z   903   0.3911761 0.000000000  0.000
M1.10_218.0973m.z   M1.10_218.0973m.z  4398   0.3904407 0.000000000  0.000
M6.36_283.0810m.z   M6.36_283.0810m.z  4519   0.3899943 0.000000000  0.000
M1.66_165.0416m.z   M1.66_165.0416m.z   463   0.3898819 0.000000000  0.000
M5.93_200.1291m.z   M5.93_200.1291m.z  4083   0.3877461 0.000000000  0.000
M10.87_501.2846n     M10.87_501.2846n   306   0.3876433 0.000000000  0.000
M12.19_261.1555m.z M12.19_261.1555m.z  4616   0.3872008 0.000000000  0.000
M1.52_144.0453m.z   M1.52_144.0453m.z  1789   0.3868210 0.000000000  0.000
M9.26_255.1965m.z   M9.26_255.1965m.z  2254   0.3851957 0.000000000  0.000
M0.73_124.0073m.z   M0.73_124.0073m.z  3691   0.3846835 0.000000000  0.000
M1.19_144.1029m.z   M1.19_144.1029m.z  5395   0.3844757 0.000000000  0.000
M2.11_164.0352m.z   M2.11_164.0352m.z  2903   0.3840279 0.000000000  0.000
M10.94_145.0505m.z M10.94_145.0505m.z  4617   0.3835858 0.000000000  0.000
M10.01_520.2655m.z M10.01_520.2655m.z  3157   0.3831136 0.000000000  0.000
M0.52_137.0596m.z   M0.52_137.0596m.z  3836   0.3824712 0.000000000  0.000
M11.26_203.0673m.z M11.26_203.0673m.z  2504   0.3820931 0.000000000  0.000
M1.17_227.1752m.z   M1.17_227.1752m.z  2627   0.3813619 0.000000000  0.000
M5.66_297.1442m.z   M5.66_297.1442m.z  4423   0.3810661 0.000000000  0.000
M1.20_146.1175m.z   M1.20_146.1175m.z  4489   0.3810363 0.000000000  0.000
M4.69_591.1149m.z   M4.69_591.1149m.z  2732   0.3803430 0.000000000  0.000
M5.07_461.1256m.z   M5.07_461.1256m.z  3208   0.3800583 0.000000000  0.000
M4.70_197.0963n       M4.70_197.0963n  3146   0.3798545 0.000000000  0.000
M1.53_262.0913m.z   M1.53_262.0913m.z  1016   0.3795958 0.000000000  0.000
M6.12_112.0505m.z   M6.12_112.0505m.z  4188   0.3783938 0.000000000  0.000
M4.01_435.0669m.z   M4.01_435.0669m.z   717   0.3780227 0.000000000  0.000
M4.02_218.0282m.z   M4.02_218.0282m.z  3434   0.3779854 0.008547779  0.001
M12.23_291.1294m.z M12.23_291.1294m.z  3013   0.3779723 0.000000000  0.000
M9.83_213.1860m.z   M9.83_213.1860m.z  2960   0.3779614 0.000000000  0.000
M5.20_234.0540n       M5.20_234.0540n  1022   0.3772580 0.000000000  0.000
M5.37_119.0501m.z   M5.37_119.0501m.z  4244   0.3754839 0.000000000  0.000
M5.86_144.1028m.z   M5.86_144.1028m.z  4739   0.3754458 0.000000000  0.000
M8.24_259.0125m.z   M8.24_259.0125m.z  2691   0.3753259 0.000000000  0.000
M9.19_239.0672m.z   M9.19_239.0672m.z  3944   0.3747526 0.000000000  0.000
M1.06_181.0718m.z   M1.06_181.0718m.z   951   0.3746280 0.000000000  0.000
M1.52_191.0587n       M1.52_191.0587n  2218   0.3742078 0.000000000  0.000
M1.60_167.0562m.z   M1.60_167.0562m.z  3572   0.3741600 0.000000000  0.000
M10.78_306.2402n     M10.78_306.2402n  2878   0.3728432 0.000000000  0.000
M4.25_195.0774m.z   M4.25_195.0774m.z  5774   0.3726703 0.000000000  0.000
M7.24_180.1029m.z   M7.24_180.1029m.z  3088   0.3712817 0.000000000  0.000
M6.32_173.1181m.z   M6.32_173.1181m.z  3344   0.3712466 0.000000000  0.000
M11.31_174.0406m.z M11.31_174.0406m.z  2657   0.3709803 0.000000000  0.000
M4.01_198.0566n       M4.01_198.0566n   270   0.3704596 0.000000000  0.000
M8.75_117.0192m.z   M8.75_117.0192m.z  4549   0.3700424 0.000000000  0.000
M9.28_802.6386m.z   M9.28_802.6386m.z  3597   0.3679085 0.000000000  0.000
M10.04_267.1575m.z M10.04_267.1575m.z  4224   0.3675002 0.000000000  0.000
M1.54_269.0734m.z   M1.54_269.0734m.z  3826   0.3652951 0.000000000  0.000
M11.24_310.1560n     M11.24_310.1560n  1851   0.3639365 0.000000000  0.000
M7.91_624.2670n       M7.91_624.2670n   238   0.3630747 0.000000000  0.000
M10.92_519.3323n     M10.92_519.3323n    50   0.3630003 0.000000000  0.000
M3.87_180.0608m.z   M3.87_180.0608m.z  3269   0.3623467 0.000000000  0.000
M11.07_526.2935m.z M11.07_526.2935m.z  1812   0.3620950 0.000000000  0.000
M5.73_500.2779m.z   M5.73_500.2779m.z   804   0.3616682 0.000000000  0.000
M11.24_132.0301m.z M11.24_132.0301m.z  1221   0.3615743 0.000000000  0.000
M0.73_371.0432m.z   M0.73_371.0432m.z  2109   0.3614418 0.000000000  0.000
M10.78_227.1063m.z M10.78_227.1063m.z  4307   0.3605017 0.000000000  0.000
M6.45_150.0677n       M6.45_150.0677n  3284   0.3598953 0.008547779  0.001
M9.38_143.0347m.z   M9.38_143.0347m.z  6033   0.3595461 0.000000000  0.000
M5.21_328.0505n       M5.21_328.0505n  2131   0.3586161 0.000000000  0.000
M3.74_181.0717m.z   M3.74_181.0717m.z   506   0.3581834 0.000000000  0.000
M11.50_269.2712n     M11.50_269.2712n  1485   0.3581706 0.000000000  0.000
M4.69_204.0896n       M4.69_204.0896n  1289   0.3577816 0.000000000  0.000
M4.69_368.0949n       M4.69_368.0949n  2243   0.3576197 0.000000000  0.000
M2.56_211.0835m.z   M2.56_211.0835m.z  3738   0.3570177 0.000000000  0.000
M10.92_505.3166n     M10.92_505.3166n   216   0.3548924 0.000000000  0.000
M8.27_182.0948n       M8.27_182.0948n  5304   0.3546190 0.000000000  0.000
M10.78_283.1687m.z M10.78_283.1687m.z  2684   0.3546053 0.008547779  0.001
M10.72_229.0827m.z M10.72_229.0827m.z  1589   0.3534682 0.000000000  0.000
M7.27_578.2615n       M7.27_578.2615n   390   0.3527556 0.000000000  0.000
M10.02_104.1069m.z M10.02_104.1069m.z   437   0.3517662 0.000000000  0.000
M12.60_203.0670m.z M12.60_203.0670m.z  5655   0.3516289 0.000000000  0.000
M1.42_180.1029m.z   M1.42_180.1029m.z  1816   0.3512782 0.000000000  0.000
M0.63_110.0569m.z   M0.63_110.0569m.z  3329   0.3505962 0.000000000  0.000
M11.66_97.9768n       M11.66_97.9768n   190   0.3503866 0.000000000  0.000
M5.74_504.3076m.z   M5.74_504.3076m.z  2444   0.3502045 0.000000000  0.000
M1.17_211.0835m.z   M1.17_211.0835m.z  2604   0.3489244 0.000000000  0.000
M2.70_329.2329m.z   M2.70_329.2329m.z  2702   0.3483097 0.000000000  0.000
M10.66_314.0594n     M10.66_314.0594n    19   0.3483068 0.000000000  0.000
M4.29_192.0666m.z   M4.29_192.0666m.z  5236   0.3482027 0.000000000  0.000
M7.33_608.2719n       M7.33_608.2719n     2   0.3476976 0.000000000  0.000
M11.11_478.2934m.z M11.11_478.2934m.z  1947   0.3472641 0.000000000  0.000
M4.01_242.0202n       M4.01_242.0202n   772   0.3465938 0.008547779  0.001
M1.03_179.0573m.z   M1.03_179.0573m.z   711   0.3464688 0.000000000  0.000
M1.51_321.1054n       M1.51_321.1054n  2105   0.3461282 0.008547779  0.001
M5.01_211.1437m.z   M5.01_211.1437m.z  2437   0.3457632 0.000000000  0.000
M10.78_379.2235m.z M10.78_379.2235m.z  1103   0.3455364 0.000000000  0.000
M5.06_246.0771m.z   M5.06_246.0771m.z  3125   0.3455085 0.000000000  0.000
M11.42_313.2381m.z M11.42_313.2381m.z  2076   0.3454828 0.000000000  0.000
M9.23_393.2280m.z   M9.23_393.2280m.z  2720   0.3446967 0.000000000  0.000
M5.91_604.3623m.z   M5.91_604.3623m.z  1220   0.3442383 0.000000000  0.000
M11.69_173.0454m.z M11.69_173.0454m.z  4555   0.3442202 0.000000000  0.000
M9.83_104.1069m.z   M9.83_104.1069m.z  1468   0.3435036 0.000000000  0.000
M8.03_120.0697m.z   M8.03_120.0697m.z   856   0.3426286 0.000000000  0.000
M6.12_173.1181m.z   M6.12_173.1181m.z  3433   0.3415493 0.000000000  0.000
M7.06_207.0662m.z   M7.06_207.0662m.z  4564   0.3415137 0.000000000  0.000
M11.78_275.0882m.z M11.78_275.0882m.z  1456   0.3405895 0.000000000  0.000
M4.96_425.1021m.z   M4.96_425.1021m.z  1471   0.3400498 0.000000000  0.000
M5.14_211.1437m.z   M5.14_211.1437m.z  4180   0.3397844 0.000000000  0.000
M0.55_129.0426n       M0.55_129.0426n   865   0.3395387 0.000000000  0.000
M5.06_196.0250m.z   M5.06_196.0250m.z  4034   0.3388444 0.000000000  0.000
M9.12_249.1495m.z   M9.12_249.1495m.z  1750   0.3386776 0.008547779  0.001
M6.89_217.0615m.z   M6.89_217.0615m.z  4597   0.3383569 0.000000000  0.000
M11.61_269.2257m.z M11.61_269.2257m.z  1459   0.3377554 0.000000000  0.000
M9.49_165.0402m.z   M9.49_165.0402m.z  1231   0.3377361 0.000000000  0.000
M4.58_251.0797n       M4.58_251.0797n  1357   0.3374093 0.000000000  0.000
M6.45_227.1289m.z   M6.45_227.1289m.z  4365   0.3373162 0.000000000  0.000
M9.53_652.3442m.z   M9.53_652.3442m.z  2525   0.3370992 0.000000000  0.000
M1.53_175.0633n       M1.53_175.0633n  1037   0.3365702 0.000000000  0.000
M10.78_177.1273m.z M10.78_177.1273m.z  3200   0.3365169 0.008547779  0.001
M11.88_437.3268m.z M11.88_437.3268m.z  1126   0.3364301 0.008547779  0.001
M1.10_195.0811m.z   M1.10_195.0811m.z  2019   0.3362974 0.000000000  0.000
M9.78_242.1523n       M9.78_242.1523n  2396   0.3360658 0.000000000  0.000
M4.01_101.0607m.z   M4.01_101.0607m.z  3401   0.3358071 0.000000000  0.000
M10.59_204.1112n     M10.59_204.1112n   581   0.3356174 0.000000000  0.000
M6.24_254.1610m.z   M6.24_254.1610m.z  4593   0.3355072 0.000000000  0.000
M9.59_190.0329n       M9.59_190.0329n    96   0.3354952 0.000000000  0.000
M10.87_361.2725m.z M10.87_361.2725m.z  3224   0.3353542 0.000000000  0.000
M9.43_83.0250m.z     M9.43_83.0250m.z  2772   0.3344909 0.000000000  0.000
M12.45_426.0871n     M12.45_426.0871n  1502   0.3343079 0.000000000  0.000
M10.78_519.3326n     M10.78_519.3326n   236   0.3342066 0.000000000  0.000
M4.69_227.0779m.z   M4.69_227.0779m.z  2073   0.3341327 0.000000000  0.000
M7.52_313.1722m.z   M7.52_313.1722m.z  3650   0.3338942 0.000000000  0.000
M11.13_502.2933m.z M11.13_502.2933m.z  1712   0.3338907 0.000000000  0.000
M10.77_504.3093m.z M10.77_504.3093m.z   927   0.3336271 0.000000000  0.000
M9.75_299.0199m.z   M9.75_299.0199m.z  1355   0.3318816 0.008547779  0.001
M3.18_151.0511m.z   M3.18_151.0511m.z  4847   0.3318801 0.008547779  0.001
M3.59_195.1124m.z   M3.59_195.1124m.z  2359   0.3318609 0.000000000  0.000
M0.55_138.0548m.z   M0.55_138.0548m.z  4176   0.3312306 0.000000000  0.000
M5.71_501.2850n       M5.71_501.2850n   504   0.3310424 0.008547779  0.001
M13.50_447.3489m.z M13.50_447.3489m.z   923   0.3305949 0.000000000  0.000
M10.03_86.0964m.z   M10.03_86.0964m.z  4713   0.3301941 0.000000000  0.000
M8.03_114.0559m.z   M8.03_114.0559m.z   541   0.3292138 0.015211976  0.002
M4.23_272.0687n       M4.23_272.0687n  6166   0.3289953 0.008547779  0.001
M6.94_139.1128m.z   M6.94_139.1128m.z  4837   0.3286738 0.000000000  0.000
M8.34_295.1545m.z   M8.34_295.1545m.z  3806   0.3280637 0.000000000  0.000
M1.51_217.0614m.z   M1.51_217.0614m.z  4782   0.3279581 0.000000000  0.000
M3.87_179.0573m.z   M3.87_179.0573m.z   942   0.3279038 0.000000000  0.000
M8.99_259.0127m.z   M8.99_259.0127m.z  3230   0.3274538 0.000000000  0.000
M3.94_248.0206n       M3.94_248.0206n  3236   0.3272138 0.000000000  0.000
M10.93_104.1069m.z M10.93_104.1069m.z   354   0.3266812 0.000000000  0.000
M5.57_225.1231m.z   M5.57_225.1231m.z  1544   0.3265445 0.000000000  0.000
M0.56_158.0214n       M0.56_158.0214n  1117   0.3263986 0.000000000  0.000
M1.92_199.0824m.z   M1.92_199.0824m.z  2651   0.3257531 0.000000000  0.000
M1.09_272.0687n       M1.09_272.0687n   192   0.3254484 0.008547779  0.001
M1.86_281.1391m.z   M1.86_281.1391m.z  4264   0.3250671 0.015211976  0.002
M4.01_275.0538m.z   M4.01_275.0538m.z  1784   0.3250141 0.000000000  0.000
M7.55_309.1705m.z   M7.55_309.1705m.z  3814   0.3250115 0.000000000  0.000
M9.73_370.0570m.z   M9.73_370.0570m.z  1362   0.3243425 0.000000000  0.000
M2.42_331.1911m.z   M2.42_331.1911m.z  1249   0.3235943 0.008547779  0.001
M6.23_136.0404m.z   M6.23_136.0404m.z  4113   0.3234510 0.008547779  0.001
M2.66_148.0766m.z   M2.66_148.0766m.z  1076   0.3230175 0.008547779  0.001
M9.30_241.1445m.z   M9.30_241.1445m.z  5517   0.3228218 0.000000000  0.000
M1.53_177.0789n       M1.53_177.0789n   734   0.3227539 0.000000000  0.000
M3.05_280.9782m.z   M3.05_280.9782m.z  1300   0.3225901 0.000000000  0.000
M4.96_404.1273n       M4.96_404.1273n   404   0.3223100 0.000000000  0.000
M13.12_369.3008m.z M13.12_369.3008m.z  3151   0.3222411 0.000000000  0.000
M10.02_551.2525n     M10.02_551.2525n   444   0.3219623 0.000000000  0.000
M10.85_130.0498m.z M10.85_130.0498m.z   735   0.3217094 0.008547779  0.001
M7.26_181.1102n       M7.26_181.1102n  3708   0.3213689 0.000000000  0.000
M10.74_195.0508m.z M10.74_195.0508m.z   706   0.3210494 0.008547779  0.001
M8.60_287.1862m.z   M8.60_287.1862m.z  4298   0.3209794 0.000000000  0.000
M4.69_279.0976m.z   M4.69_279.0976m.z  5297   0.3205455 0.000000000  0.000
M9.32_567.2786m.z   M9.32_567.2786m.z  2761   0.3202332 0.000000000  0.000
M3.70_159.0661m.z   M3.70_159.0661m.z  3422   0.3199705 0.008547779  0.001
M11.46_280.9773m.z M11.46_280.9773m.z  2905   0.3198873 0.008547779  0.001
M9.59_436.0417n       M9.59_436.0417n   147   0.3190802 0.000000000  0.000
M11.24_546.3545m.z M11.24_546.3545m.z   303   0.3188681 0.000000000  0.000
M9.85_494.2513n       M9.85_494.2513n  2817   0.3188289 0.008547779  0.001
M1.39_190.0508m.z   M1.39_190.0508m.z  4875   0.3187663 0.008547779  0.001
M4.02_317.0688m.z   M4.02_317.0688m.z  2164   0.3187444 0.000000000  0.000
M2.57_226.1072m.z   M2.57_226.1072m.z   982   0.3185498 0.000000000  0.000
M0.96_608.2734n       M0.96_608.2734n    36   0.3182780 0.000000000  0.000
M6.14_328.1908m.z   M6.14_328.1908m.z   985   0.3180899 0.000000000  0.000
M7.92_211.0610m.z   M7.92_211.0610m.z  3613   0.3180703 0.000000000  0.000
M7.84_235.0974m.z   M7.84_235.0974m.z  4424   0.3180351 0.015211976  0.002
M4.81_194.0800n       M4.81_194.0800n   679   0.3177105 0.008547779  0.001
M6.23_136.0767m.z   M6.23_136.0767m.z  5092   0.3177073 0.000000000  0.000
M4.83_177.0919m.z   M4.83_177.0919m.z  5013   0.3174779 0.000000000  0.000
M10.02_453.2846n     M10.02_453.2846n    27   0.3170775 0.000000000  0.000
M12.49_286.1394m.z M12.49_286.1394m.z  5686   0.3170365 0.000000000  0.000
M12.92_439.3421m.z M12.92_439.3421m.z  1426   0.3168638 0.000000000  0.000
M6.48_143.0461m.z   M6.48_143.0461m.z  6170   0.3168469 0.008547779  0.001
M11.78_174.0405m.z M11.78_174.0405m.z  3919   0.3153552 0.000000000  0.000
M12.33_355.2850m.z M12.33_355.2850m.z  5069   0.3140914 0.000000000  0.000
M0.75_145.0617m.z   M0.75_145.0617m.z  1723   0.3139244 0.008547779  0.001
M4.18_138.0196m.z   M4.18_138.0196m.z  2666   0.3138450 0.000000000  0.000
M9.63_961.0488m.z   M9.63_961.0488m.z    80   0.3133945 0.008547779  0.001
M0.89_202.0178m.z   M0.89_202.0178m.z  3659   0.3130925 0.015211976  0.002
M5.33_273.1241m.z   M5.33_273.1241m.z  2262   0.3127995 0.000000000  0.000
M6.45_218.1183m.z   M6.45_218.1183m.z  1920   0.3126918 0.008547779  0.001
M6.94_166.0508m.z   M6.94_166.0508m.z  6021   0.3125808 0.015211976  0.002
M4.03_213.0429m.z   M4.03_213.0429m.z  3315   0.3121710 0.000000000  0.000
M1.10_273.0754m.z   M1.10_273.0754m.z   991   0.3121003 0.000000000  0.000
M6.70_155.1112m.z   M6.70_155.1112m.z  1805   0.3119590 0.000000000  0.000
M10.92_497.2283m.z M10.92_497.2283m.z  3172   0.3111537 0.000000000  0.000
M11.02_212.9622m.z M11.02_212.9622m.z  3268   0.3110857 0.008547779  0.001
M5.14_220.0282m.z   M5.14_220.0282m.z  3852   0.3107996 0.000000000  0.000
M10.54_214.0484m.z M10.54_214.0484m.z  1420   0.3106075 0.008547779  0.001
M9.61_609.1451m.z   M9.61_609.1451m.z  1618   0.3105154 0.008547779  0.001
M11.28_478.2933m.z M11.28_478.2933m.z   573   0.3104580 0.008547779  0.001
M3.79_172.0979m.z   M3.79_172.0979m.z  4561   0.3102297 0.020800218  0.003
M9.63_633.0351m.z   M9.63_633.0351m.z    13   0.3102101 0.008547779  0.001
M1.74_215.0019m.z   M1.74_215.0019m.z  6006   0.3101534 0.008547779  0.001
M14.41_205.1181m.z M14.41_205.1181m.z  5985   0.3101131 0.000000000  0.000
M8.93_75.0087m.z     M8.93_75.0087m.z  2311   0.3100163 0.000000000  0.000
M9.59_272.0359n       M9.59_272.0359n   234   0.3094461 0.000000000  0.000
M9.97_630.2673n       M9.97_630.2673n  1434   0.3092722 0.020800218  0.003
M1.54_199.1067m.z   M1.54_199.1067m.z  5387   0.3092116 0.008547779  0.001
M10.32_197.1162n     M10.32_197.1162n  1641   0.3090552 0.000000000  0.000
M5.19_134.0460m.z   M5.19_134.0460m.z  5034   0.3090184 0.015211976  0.002
M9.39_331.1913m.z   M9.39_331.1913m.z  2455   0.3089467 0.008547779  0.001
M0.61_141.0668m.z   M0.61_141.0668m.z  3914   0.3086914 0.000000000  0.000
M2.66_224.0926m.z   M2.66_224.0926m.z   915   0.3085993 0.000000000  0.000
M10.74_361.2724m.z M10.74_361.2724m.z  2754   0.3082748 0.000000000  0.000
M4.01_235.0249m.z   M4.01_235.0249m.z  3006   0.3081528 0.000000000  0.000
M10.74_501.2846n     M10.74_501.2846n   947   0.3081054 0.000000000  0.000
M6.03_304.0829n       M6.03_304.0829n  1463   0.3068157 0.000000000  0.000
M11.14_480.3077m.z M11.14_480.3077m.z  2189   0.3062199 0.008547779  0.001
M4.01_121.0283m.z   M4.01_121.0283m.z   285   0.3061303 0.000000000  0.000
M6.34_302.1015m.z   M6.34_302.1015m.z  1023   0.3061278 0.008547779  0.001
M6.25_301.0943n       M6.25_301.0943n  1695   0.3060857 0.008547779  0.001
M6.25_283.1071m.z   M6.25_283.1071m.z  2653   0.3058587 0.008547779  0.001
M6.33_318.1208n       M6.33_318.1208n   627   0.3051317 0.000000000  0.000
