	T1	T2	T3	T4	T5	T6
time	T1	T2	T3	T4	T5	T6
ARHGAP1	4.58575446916483	4.08801546832979	4.5757345934552	4.51398236147871	3.68099225809049	5.24775920782572
MED16	2.20620786845905	2.21686620043893	1.84720733629333	3.10509237721074	2.68295621722732	2.02149839344278
ATG13	3.74875596316094	3.22401938234631	3.31781192267012	3.5332612950079	3.13227497647288	4.05286122652352
GOLGA8A	1.15945534406857	1.47660141926501	1.49293118635562	2.03961279514535	2.3915523810937	1.42044968607674
TP53I11	2.09704662143737	2.32933683125173	2.28798231224703	2.87993180924332	1.20380579578397	3.55072340659214
CATSPER1	1.58300312014719	1.50124805875904	1.86036802981449	1.0919456627197	0.634800391692082	2.82826924413397
PHYKPL	2.71225422997144	3.37476326157833	2.86941767449848	3.81285843343442	2.48419381761581	2.90723705100983
LSM1	3.99575586098064	3.46874773854723	4.18389466043181	4.96384998925582	3.52765186743772	4.69862321138485
BANF1	4.15364462512764	3.87361220592631	4.17631889057263	4.08974805340518	3.02297977385461	5.1665417572735
TMEM9B	5.61644075226704	4.67799358594733	5.73993686829235	5.56546946993269	5.34403858293149	6.26181186937281
PTPN2	4.78608359964934	4.72403746193416	4.8972416693158	5.03561806969175	4.72027842157142	4.97650650172017
EIF1AD	1.70761201180424	2.18290846323719	1.65948172527915	2.07323128398591	1.5907679474779	1.95696437867499
SMAD2	4.75693646418599	4.56882053934465	4.69030275715302	4.58358608102168	4.94799931194927	5.90220363859354
EIF3F	5.49631230676393	4.87410366387522	5.56646305351862	5.25206723852332	5.36344575519819	5.73674079383116
ZNF25	1.49573563833416	1.24100556422174	1.326090994274	1.77375509878116	1.49924504878402	1.46620452452124
CLTB	4.62448413450358	3.84872661966314	4.25324352711516	3.37645245900943	3.68006396607496	4.81056023910209
CCDC14	2.64804148992675	2.62391659009768	2.30072441894044	3.45936157385044	2.36018871324187	2.57204442616946
TBC1D10C	4.51757486167252	4.15271513703243	4.62098209214946	4.88564546448435	4.63119971068779	5.38428252478708
SART1	2.37574149738495	2.10560651350598	2.17426096730439	3.32718505132334	2.44337476917639	2.59167565585398
PPP2R2D	4.30787857901469	3.86380725984321	4.07674447101749	3.69820121835143	3.82902549662512	5.16107529472964
