	T1	T2	T3	T4	T5
M12.88_491.2321m.z	1.29434908554618	-0.989616972096007	-0.868242876716644	-0.183379442991585	0.746890206258056
M10.61_528.1771m.z	0.959479918865731	-0.687809716761158	-1.28957803215992	0.0478485027037113	0.970059327351635
M1.58_361.1432n	1.78363569546382	-0.379465173892997	-0.367930399339641	-0.552618709281601	-0.483621412949583
M11.01_290.1599m.z	1.15597936228603	-1.13478611664632	-0.93924546111727	0.649263081056977	0.268789134420582
M2.05_219.1104n	-0.217290456637099	-0.210657466328807	-1.45167691156891	1.07124238807337	0.808382446461439
M13.29_358.3077n	1.14291949354466	-0.420453260563922	0.800353064219287	-0.162702811496423	-1.36011648570361
M5.87_412.3054m.z	0.815863778590976	-1.10901161213083	-0.911615146791841	0.0790792621498216	1.12568371818187
M0.96_309.2795m.z	1.21484574599424	-0.836502812621236	-0.963279011271068	-0.309790749591122	0.894726827489184
M5.45_368.2792m.z	0.669431301345129	-1.042280572743	-0.832210289738127	-0.120953011616176	1.32601257275218
M5.76_287.2094n	0.538944372235589	-1.26817083221786	-0.722569862970438	0.213395373481578	1.23840094947113
M5.41_370.2948m.z	0.683545322625918	-1.20852099002902	-0.69594953326302	-0.0386012959497611	1.25952649661589
M10.68_297.2433m.z	1.46778925443329	-0.247074823794623	-1.05686434130424	-0.653835472185862	0.48998538285143
M6.73_218.1031m.z	-0.0950807888275413	0.600485869062591	-1.63875533379381	0.177691886784664	0.955658366774094
M8.28_167.1076m.z	0.593567834286878	-0.988461187634367	-1.08809666310004	0.301587254285805	1.18140276216172
M5.51_342.2636m.z	0.712923986742283	-1.07477151082687	-0.61870888053547	-0.367934905976099	1.34849131059615
M6.16_159.1025m.z	0.507253043211736	-0.765862181892042	-1.12076893262658	0.000963932162243337	1.37841413914464
M0.97_217.0174m.z	-0.160679839226285	1.74327396478054	-0.755627333017662	-0.307965225790272	-0.519001566746316
M10.93_519.3316n	-1.57119462360677	0.842111521239892	0.855580426418385	0.139454307831434	-0.265951631882939
M1.15_123.0552m.z	-0.0104122203950797	-0.618845856144627	-0.784755762599911	-0.29333357656791	1.70734741570753
M10.93_544.3395m.z	-1.09911292370465	-0.855992214683699	-0.0540621495018498	1.14229493246844	0.86687235542176
M10.01_439.2696n	-1.35229763064927	0.996473984534039	0.929618959772016	-0.0134760273507825	-0.560319286306007
M11.20_506.3249m.z	-1.60599819829271	-0.0735217015219035	1.12216052120641	0.298621763799778	0.258737614808427
M10.86_500.2779m.z	-1.11609332728728	0.42862731192127	1.26472162460313	0.345596723968645	-0.922852333205766
M10.01_453.2852n	-1.37871638386582	0.950336445659279	0.947964365051339	0.0251475584546048	-0.544731985299401
M10.93_104.1069m.z	-1.21763131488419	0.83451207631054	0.954451579653167	0.325388424247459	-0.896720765326976
M10.93_567.3320n	-0.78067890113358	-0.540175387496315	1.51303374758576	0.532803508883068	-0.724982967838935
M8.93_135.0298m.z	-1.38345761404531	1.20150481247078	0.604030090318858	0.0959664426395301	-0.518043731383857
M12.37_425.0802m.z	-1.36181595955769	1.14042062706542	-0.311398827189857	0.816848734297092	-0.284054574614968
M5.82_478.2934m.z	-1.43465640455822	0.837381033297594	1.05350926413743	-0.112796623412956	-0.343437269463848
M9.86_495.2960m.z	-1.51429714833816	0.84241601015875	0.0584517602970868	0.941409498773711	-0.327980120891387
M10.65_399.2208m.z	-1.13425002983353	0.762188961053886	-0.55863303599093	1.29822706482478	-0.367532960054207
M10.53_147.0297m.z	-1.39474948245212	0.00109523776994975	-0.498637449523013	0.857688378203695	1.03460331600149
M10.62_380.2554m.z	-1.65638708325169	-0.211744446245101	0.685059409262704	0.445916856602613	0.737155263631476
M9.00_330.2405n	-1.47104333072838	1.24341942218246	0.460185841250961	-0.27616549484009	0.0436035621350461
M10.84_476.2778m.z	-0.799243023474713	0.913606550987326	1.0799487194154	-0.0283619817607285	-1.16595026516729
